pso,ga3,hill,hybrid,fireworks,simulated,
39.2129,39.1888,39.2113,39.1403,39.213,39.212,
39.213,39.2081,39.2117,39.188,39.159,39.2093,
39.1596,39.2045,39.2123,39.1907,39.1592,39.1494,
39.2128,39.211,39.2109,39.2085,39.2095,39.2098,
39.2131,39.189,39.2101,39.2122,39.1588,39.2003,
39.2132,39.2057,39.2103,39.2081,39.2123,39.2093,
39.2124,39.2114,39.2109,39.2113,39.2092,39.1913,
39.2133,39.147,39.2108,39.2049,39.2098,39.2042,
39.2134,39.2121,39.2076,39.1913,39.1465,39.1941,
39.2118,39.2099,39.2115,39.153,39.1568,39.1585,
39.2125,39.2095,39.2117,39.1439,39.2129,39.2083,
39.1586,39.2096,39.2121,39.1507,39.1544,39.2063,
39.2134,39.1522,39.2123,39.2068,39.2126,39.209,
39.2119,39.2124,39.2126,39.1979,39.2125,39.2111,
39.2134,39.145,39.2121,39.2123,39.1585,39.2046,
39.2133,39.2059,39.1978,39.1957,39.2099,39.2008,
39.2133,39.1957,39.2116,39.19,39.1581,39.1554,
39.2129,39.2079,39.2132,39.1471,39.2132,39.1499,
39.2133,39.1948,39.199,39.15,39.1814,39.2109,
39.2133,39.2043,39.2101,39.1393,39.1792,39.194,
39.2124,39.1966,39.2122,39.2103,39.2129,39.2086,
39.2126,39.1956,39.21,39.1548,39.2131,39.1939,
39.2127,39.2109,39.2086,39.1675,39.2129,39.2107,
39.2124,39.1919,39.2119,39.1965,39.1556,39.2077,
39.2123,39.1854,39.2074,39.1958,39.2123,39.2078,
38.6178,39.1964,39.2116,39.1825,39.1592,39.2067,
39.2067,39.2015,39.2116,39.2064,39.1575,39.2124,
39.2133,39.1946,39.2108,39.2036,39.2129,39.2086,
39.1596,39.2075,39.2095,39.1775,39.2127,39.2072,
39.2122,39.2063,39.2105,39.197,39.2097,38.6951,
