pso,ga3,hill,hybrid,fireworks,simulated,
40.2445,40.1483,40.1888,40.1407,36.9764,40.1064,
40.2455,38.2897,40.1951,40.0748,38.1806,38.5897,
39.1593,39.1978,40.1971,40.1987,38.1655,38.6028,
40.1025,38.8658,38.8546,40.1963,40.1487,40.141,
40.2458,39.1485,39.7666,40.1373,39.2131,40.1029,
38.2217,40.2337,40.1232,40.0925,36.3028,39.0557,
38.2391,39.199,39.7584,39.8227,38.2425,39.1355,
39.1579,38.8775,39.373,39.1776,38.1393,38.3084,
40.1122,39.196,40.1501,39.1969,38.3129,40.1421,
38.6078,40.1464,40.2407,40.1012,40.2442,40.1346,
40.2364,39.1955,39.8753,40.1375,37.605,38.8045,
39.0582,39.1972,40.0746,40.0212,38.1816,40.0983,
39.1556,39.0407,40.1986,40.122,39.0577,40.1041,
40.2404,39.0526,40.1957,40.1906,38.1809,39.1478,
39.2136,38.5604,40.0362,40.2389,38.2229,39.2132,
40.1302,36.9252,40.1427,39.1477,39.057,40.1411,
40.1298,39.212,40.11,40.0987,40.2449,40.133,
40.2193,40.2338,40.2363,40.2032,38.8105,40.1007,
40.2457,38.5913,39.1502,40.0524,38.2933,40.1058,
39.2127,40.2108,40.1427,40.1276,38.1316,40.2244,
40.2451,39.7821,40.0724,40.1436,39.212,38.8,
39.2148,38.6154,40.1513,40.1264,39.2114,40.2371,
39.2112,40.2283,40.0946,40.1884,38.82,38.7289,
39.4167,40.0906,39.3767,40.1759,38.2154,40.2244,
38.1818,38.7865,40.1778,39.1466,38.3117,38.8637,
40.1416,38.3077,40.1801,40.1066,40.1612,37.759,
40.2424,40.2409,39.8165,40.146,39.0542,38.3045,
39.2144,39.2014,39.762,40.1258,38.3119,39.038,
40.244,40.1001,40.1149,40.0756,36.3033,38.8804,
40.1515,40.0935,39.691,40.1074,37.5406,40.1081,
